timestamp,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6
0.0,0.0,0.1334802197998472,0.0,0.0,0.0,0.0,0.0
0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.385,0.0,0.02158997928714404,0.0,0.0,0.0,0.0,0.0
0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.892,0.0,0.18811204281470334,0.0,0.0,0.0,0.0,0.0
1.064,0.0,0.46011204281470336,0.0,0.304,0.0,0.0,0.0
1.212,0.0,0.4851120428147034,0.0,0.436,0.0,0.0,0.0
1.366,0.0,0.46711204281470337,0.281,0.32,0.0,0.0,0.0
1.552,0.0,0.42611204281470333,0.337,0.206,0.0,0.0,0.0
1.703,0.0,0.39911204281470336,0.348,0.07,0.0,0.0,0.0
1.872,0.0,0.38211204281470335,0.363,0.0,0.024,0.0,0.0
2.031,0.0,0.4221120428147033,0.423,0.079,0.0,0.0,0.0
2.186,0.0,0.36711204281470333,0.482,0.0,0.032,0.0,0.0
2.35,0.0,0.31311204281470334,0.373,0.0,0.085,0.0,0.0
2.493,0.0,0.30411204281470333,0.4,0.0,0.052,0.0,0.0
2.647,0.0,0.2151120428147033,0.514,0.0,0.155,0.0,0.0
2.784,0.0,0.2791120428147033,0.45,0.0,0.105,0.0,0.0
2.957,0.0,0.2951120428147033,0.405,0.0,0.156,0.0,0.0
3.106,0.0,0.3521120428147033,0.451,0.0,0.125,0.0,0.0
3.293,0.0,0.43311204281470334,0.507,0.0,0.116,0.0,0.0
3.556,0.0,0.36611204281470333,0.521,0.051,0.064,0.0,0.0
3.703,0.0,0.3431120428147033,0.508,0.0,0.056,0.0,0.0
3.85,0.0,0.32311204281470335,0.55,0.0,0.107,0.0,0.0
4.037,0.0,0.33211204281470336,0.481,0.043,0.0,0.0,0.0
4.272,0.0,0.31211204281470334,0.492,0.0,0.0,0.0,0.0
4.459,0.0,0.30711204281470333,0.477,0.093,0.0,0.0,0.0
4.649,0.0,0.33111204281470336,0.477,0.151,0.0,0.0,0.0
4.838,0.0,0.3431120428147033,0.435,0.236,0.0,0.0,0.0
5.088,0.0,0.3561120428147033,0.142,0.296,0.0,0.0,0.0
5.369,0.0,0.3561120428147033,0.0,0.197,0.0,0.0,0.0
5.605,0.0,0.16478582980085626,0.0,0.0,0.0,0.0,0.0
5.892,0.0,0.07400576865813918,0.0,0.0,0.0,0.0,0.0
6.108,0.0,0.1268321813364524,0.0,0.0,0.0,0.0,0.0
6.334,0.0,0.13902165041641829,0.0,0.0,0.0,0.0,0.0
6.585,0.0,0.11750187605475497,0.0,0.0,0.0,0.0,0.0
6.785,0.0,0.05322693769317241,0.0,0.0,0.0,0.0,0.0
7.084,0.0,0.09347413430843637,0.0,0.0,0.0,0.0,0.0
7.359,0.0,0.04927153494027203,0.0,0.0,0.0,0.0,0.0
7.68,0.0,0.08317352432930633,0.0,0.0,0.0,0.0,0.0
7.997,0.0,0.07806510690921073,0.0,0.0,0.0,0.0,0.0
8.237,0.0,0.07897003762669794,0.0,0.0,0.0,0.0,0.0
8.438,0.0,0.05671654365394707,0.0,0.0,0.0,0.0,0.0
8.77,0.0,0.07830560492181782,0.0,0.0,0.0,0.0,0.0
9.039,0.0,0.12457732255163559,0.0,0.050883153007476395,0.0,0.0,0.0
9.268,0.0,0.23957732255163558,0.0,0.23088315300747642,0.0,0.0,0.0
