timestamp,fsr0,fsr1,fsr2,fsr3,fsr4,fsr5,fsr6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.772,0.0,0.08545950182287035,0.0,0.0,0.026205199999999998,0.0,0.0
12.012,0.0,0.06650505834910284,0.0,0.0,0.0,0.0,0.0
12.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.721,0.0,0.03891247397305701,0.0,0.0,0.0254022762693763,0.0,0.0
14.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.547,0.0,0.05744750787102726,0.0,0.0,0.030994461276656365,0.0,0.0
15.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.765,0.0,0.1745781004645631,0.0,0.0,0.0552996270488919,0.0,0.0
49.021,0.0,0.48457810046456307,0.0,0.313,0.1542996270488919,0.0,0.0
49.364,0.0,0.4535781004645631,0.0,0.117,0.1772996270488919,0.0,0.0
49.658,0.0,0.4515781004645631,0.0,0.099,0.16429962704889192,0.0,0.0
49.95,0.0,0.42057810046456306,0.0,0.0,0.3252996270488919,0.0,0.0
50.266,0.0,0.34357810046456305,0.0,0.0,0.33329962704889193,0.0,0.0
50.542,0.0,0.2185781004645631,0.0,0.0,0.2582996270488919,0.0,0.0
50.799,0.0,0.3815781004645631,0.0,0.0,0.3422996270488919,0.0,0.0
51.204,0.0,0.13144740753244305,0.0,0.0,0.2660348785814006,0.0,0.0
51.577,0.0,0.1547984593817942,0.0,0.0,0.3197741810097727,0.0,0.0
51.981,0.0,0.17718249019415833,0.0,0.0,0.3094586973895772,0.0,0.0
52.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.675,0.0,0.2194156481192282,0.0,0.0,0.31407940565948966,0.0,0.0
52.857,0.0,0.2964156481192282,0.0,0.0,0.3450794056594897,0.0,0.0
53.066,0.0,0.3264156481192282,0.0,0.0,0.3540794056594897,0.0,0.0
53.353,0.0,0.3354156481192282,0.0,0.0,0.32207940565948967,0.0,0.0
53.476,0.0,0.2934156481192282,0.0,0.0,0.31307940565948966,0.0,0.0
53.669,0.0,0.2924156481192282,0.0,0.0,0.31307940565948966,0.0,0.0
53.802,0.0,0.3264156481192282,0.0,0.0,0.31607940565948967,0.0,0.0
